TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,HS_DEPLOYED,PC_DEPLOYED,MAST_RAISED,TEMPERATURE,VOLTAGE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,TILT_X,TILT_Y,CMD_ECHO,T+ Time,Acceleration
5063,18:40:20,19,F,LAUNCH_WAIT,34,N,N,N,82,79,18:40:20,92,82,39,82,97,34,CXON,18,0
5063,18:40:21,20,F,LAUNCH_WAIT,70,N,N,N,94,5,18:40:21,97,94,95,94,55,70,CXON,19,98
5063,18:40:22,21,F,LAUNCH_WAIT,85,N,N,N,80,28,18:40:22,39,80,72,80,97,85,CXON,20,1
5063,18:40:23,22,F,LAUNCH_WAIT,3,N,N,N,57,77,18:40:23,68,57,8,57,21,3,CXON,21,62
5063,18:40:24,23,F,LAUNCH_WAIT,79,N,N,N,96,10,18:40:24,72,96,68,96,40,79,CXON,22,77
5063,18:40:25,24,F,LAUNCH_WAIT,8,N,N,N,65,3,18:40:25,42,65,80,65,77,8,CXON,23,10
5063,18:40:26,25,F,LAUNCH_WAIT,37,N,N,N,45,70,18:40:26,26,45,73,45,9,37,CXON,24,76
5063,18:40:27,26,F,LAUNCH_WAIT,14,N,N,N,52,1,18:40:27,1,52,21,52,31,14,CXON,25,87
5063,18:40:28,27,F,LAUNCH_WAIT,37,N,N,N,28,41,18:40:28,17,28,33,28,15,37,CXON,26,49
5063,18:40:29,28,F,LAUNCH_WAIT,8,N,N,N,21,11,18:40:29,64,21,89,21,27,8,CXON,27,54
5063,18:40:30,29,F,LAUNCH_WAIT,39,N,N,N,59,25,18:40:30,94,59,13,59,12,39,CXON,28,40
5063,18:40:31,30,F,LAUNCH_WAIT,63,N,N,N,4,33,18:40:31,84,4,84,4,61,63,CXON,29,9
5063,18:40:32,31,F,LAUNCH_WAIT,76,N,N,N,63,31,18:40:32,39,63,78,63,89,76,CXON,30,11
5063,18:40:33,32,F,LAUNCH_WAIT,79,N,N,N,82,48,18:40:33,89,82,48,82,10,79,CXON,31,66
5063,18:40:34,33,F,LAUNCH_WAIT,61,N,N,N,55,95,18:40:34,58,55,53,55,32,61,CXON,32,73
5063,18:40:35,34,F,LAUNCH_WAIT,23,N,N,N,67,5,18:40:35,2,67,10,67,19,23,CXON,33,47
5063,18:40:36,35,F,LAUNCH_WAIT,71,N,N,N,63,6,18:40:36,95,63,64,63,55,71,CXON,34,15
5063,18:40:37,36,F,LAUNCH_WAIT,13,N,N,N,67,43,18:40:37,31,67,100,67,41,13,CXON,35,48
5063,18:40:38,37,F,LAUNCH_WAIT,63,N,N,N,82,36,18:40:38,27,82,26,82,15,63,CXON,36,81
5063,18:40:39,38,F,LAUNCH_WAIT,4,N,N,N,19,51,18:40:39,99,19,23,19,23,4,CXON,37,0
5063,18:40:40,39,F,LAUNCH_WAIT,65,N,N,N,69,95,18:40:40,0,69,65,69,58,65,CXON,38,72
5063,18:40:41,40,F,LAUNCH_WAIT,46,N,N,N,92,74,18:40:41,63,92,38,92,21,46,CXON,40,42
5063,18:40:42,41,F,LAUNCH_WAIT,34,N,N,N,7,34,18:40:42,56,7,11,7,6,34,CXON,41,99
5063,18:40:43,42,F,LAUNCH_WAIT,76,N,N,N,29,38,18:40:43,55,29,11,29,8,76,CXON,42,47
5063,18:40:44,43,F,LAUNCH_WAIT,63,N,N,N,81,0,18:40:44,20,81,6,81,5,63,CXON,43,26
5063,18:40:45,44,F,LAUNCH_WAIT,7,N,N,N,65,8,18:40:45,67,65,35,65,46,7,CXON,44,9
5063,18:40:46,45,F,LAUNCH_WAIT,77,N,N,N,36,37,18:40:46,10,36,79,36,87,77,CXON,45,86
5063,18:40:48,46,F,LAUNCH_WAIT,2,N,N,N,43,23,18:40:48,56,43,3,43,83,2,CXON,46,97
5063,18:40:49,47,F,LAUNCH_WAIT,81,N,N,N,100,26,18:40:49,74,100,39,100,46,81,CXON,47,84
5063,18:40:50,48,F,LAUNCH_WAIT,51,N,N,N,54,43,18:40:50,64,54,48,54,19,51,CXON,48,15
5063,18:40:51,49,F,LAUNCH_WAIT,53,N,N,N,100,84,18:40:51,33,100,21,100,15,53,CXON,49,17
5063,18:40:52,50,F,LAUNCH_WAIT,22,N,N,N,57,56,18:40:52,66,57,89,57,0,22,CXON,50,35
5063,18:40:53,51,F,LAUNCH_WAIT,58,N,N,N,78,36,18:40:53,100,78,48,78,6,58,CXON,51,74
5063,18:40:54,52,F,LAUNCH_WAIT,78,N,N,N,51,52,18:40:54,4,51,31,51,52,78,CXON,52,54
5063,18:40:55,53,F,LAUNCH_WAIT,64,N,N,N,18,40,18:40:55,69,18,18,18,39,64,CXON,53,0
